0.052381	0.171110	two
0.184205	0.501980	fish
0.543012	0.702773	were
0.708884	0.811899	in
0.817137	0.940231	a
0.955072	1.319117	tank
1.354909	2.821565	{PAUSE}
2.846891	3.063397	one
3.077366	3.269428	looked
3.305221	3.514743	to
3.551410	3.677123	the
3.692837	3.795852	oth
3.811566	3.966962	-er
3.979184	4.213151	and
4.227119	4.750925	said
4.850439	6.296143	{PAUSE}
6.339810	6.589491	how
6.596475	6.683776	do
6.692506	6.877584	you
6.884568	7.191867	drive
7.205835	7.420596	this
7.441548	7.871069	thing?
